,Go2 flat,Go2 bumps,Hexapod flat,Hexapod bumps
angvel_xy_rms,0.4471579816969772,0.42877369437753277,0.3300407615342795,0.29375544535058146
angvel_xy_rms_q1,0.4224842487388955,0.40667342546749885,0.13225131536334783,0.28568746176570936
angvel_xy_rms_q3,0.4656817227907931,0.4506200346798819,0.39164394107304856,0.31552245269207857
angvel_xy_p95,0.8260929814694601,0.8014138136925055,0.5621544133064968,0.5804026030920744
angvel_xy_p95_q1,0.7857791258023282,0.7473839048142074,0.26296044278452546,0.5406969487024909
angvel_xy_p95_q3,0.8765189854869138,0.8524449065108526,0.8988118237272076,0.6116502183916014
vz_rms,0.08250876448595143,0.056936016120457726,0.1550927319236382,0.09623819754526226
vz_rms_q1,0.07758830479403804,0.05162129781986466,0.04789284493796833,0.0939063004971922
vz_rms_q3,0.08699712742708782,0.06264681385026809,0.20323518554911577,0.09971823900287406
vx_mean,0.2500110733509064,0.24987050421535967,0.28043148486254116,0.33447540031125145
vx_mean_q1,0.246813030630971,0.24540037457520764,0.2682022829996519,0.31783030799289314
vx_mean_q3,0.2544336980457107,0.25436608199030164,0.29008478961884976,0.3449339885171503
vx_std,0.041898708482237645,0.036924676075525506,0.050904986690298124,0.07269721554202346
vx_std_q1,0.038804512608246085,0.03489371336282683,0.02075200827262432,0.06548482864721011
vx_std_q3,0.0456080503560308,0.04071695657978648,0.06858718531111993,0.08488230735291385
vx_bias,-0.04998893857002256,-0.050129507705569246,-0.01956852705838777,0.03447538839032255
vx_bias_q1,-0.05318698128995794,-0.0545996373457213,-0.03179772892127703,0.017830296071964187
vx_bias_q3,-0.04556631387521821,-0.04563392993062732,-0.00991522230207917,0.04493397659622135
vx_mae,0.0559809388592839,0.05377165184045829,0.03174783402277777,0.06494714652576175
vx_mae_q1,0.052359851294507556,0.0502275627106428,0.017872363359977793,0.05982720999978483
vx_mae_q3,0.05917196986575919,0.058546916426469864,0.043466898290789674,0.07163054411299528
terrain_sigma_mm,0.0,5.332347989973387,0.0,4.884974946870816
terrain_sigma_mm_q1,0.0,4.6326273809919325,0.0,4.390625537244107
terrain_sigma_mm_q3,0.0,6.395697399526376,0.0,5.914075184845828
terrain_p2p_mm,0.0,26.53694339096545,0.0,25.61819739639765
terrain_p2p_mm_q1,0.0,23.539068177342422,0.0,22.864731028676
terrain_p2p_mm_q3,0.0,30.399324372410703,0.0,28.164865449070923
body_slope_lag0,,0.30787609999819876,,-0.006940968685454217
body_slope_best,,0.35525234904187397,,0.1592431269634726
best_lag_s,,0.78,,0.98
best_r2,,0.022454505139313463,,0.0023628596684175385
leg_slope_best,,-0.644747650958126,,-0.8407568730365274
slope_ci_lo,,0.16417983713648931,,-0.09911464474303387
slope_ci_hi,,0.5413705273676185,,0.39673154859730836
n_reset,64.0,64.0,66.0,73.0
n_timeout,64.0,64.0,63.0,64.0
n_early_term,0.0,0.0,3.0,9.0
n_windows,48.0,48.0,50.0,48.0
n_too_short,16.0,16.0,16.0,25.0
early_term_pct,0.0,0.0,4.545454545454546,12.32876712328767
window_s,12.0,12.0,12.0,12.0
z_sigma_total_pct,5.6667350427427765,2.911123611102044,2.3157956419657224,1.299231374500114
z_sigma_total_pct_q1,4.89028227272496,2.459481239698344,0.4648031348969104,1.2338781027844923
z_sigma_total_pct_q3,6.431439291916741,3.7558263182815828,2.805764141616833,1.3823351925709404
z_sigma_slow_pct,4.77107909999838,2.1174492591092076,1.1595180921553472,0.7966406690889256
z_sigma_slow_pct_q1,3.786722690284974,1.9111798997422282,0.2164111207170387,0.69105954068883
z_sigma_slow_pct_q3,5.760665274391232,3.2626723298478386,1.7900753040136455,0.9192859209285201
z_sigma_gait_pct,2.9407244360875686,1.80720089393763,1.8689564062518866,1.0258515853561456
z_sigma_gait_pct_q1,2.6777782982788993,1.5359502098982354,0.39943510302277563,0.9545015545783014
z_sigma_gait_pct_q3,3.216092621509934,2.24202223610185,2.287208652243296,1.1052219136525634
z_p95_pct,12.065485507036197,5.836515376965217,3.733097531965765,2.4641001834755913
z_p95_pct_q1,10.669309779414137,4.70045074406597,0.9403453057720531,2.327534620250981
z_p95_pct_q3,14.382927982290154,8.059114077559078,6.123010224529671,2.7603702814806095
body_height_m,0.372,0.372,1.05,1.05
